date,min_price,modal_price,max_price
2023-01-01,5933.333333333333,6008.333333333333,6075.0
2023-01-02,5378.4,6770.9,7350.4
2023-01-03,5563.833333333333,6986.005833333334,7613.999166666667
2023-01-04,5797.642857142857,6824.357142857143,7609.285714285715
2023-01-05,4816.5,6243.308333333333,7120.4158333333335
2023-01-06,5856.699,6626.799000000001,7302.660000000001
2023-01-07,5023.87375,6236.24875,6957.95
2023-01-08,6599.996666666666,7122.996666666666,7674.663333333333
2023-01-09,5562.307692307692,7005.923076923077,7660.076923076923
2023-01-10,5022.3324999999995,6539.499166666667,7297.583333333333
2023-01-11,6083.999411764707,6988.881764705882,7421.705294117647
2023-01-12,4932.453636363636,6596.817272727273,7397.817272727273
2023-01-13,5606.018,6911.899,7573.899
2023-01-14,5175.0,5175.0,5175.0
2023-01-15,5175.0,5175.0,5175.0
2023-01-16,5184.75,5450.25,5451.25
2023-01-17,5294.583333333333,6394.916666666667,7030.833333333333
2023-01-18,4846.2,6877.2,7548.099
2023-01-19,5263.0,7056.25,7551.383333333334
2023-01-20,5332.614615384616,7007.922307692308,7794.614615384616
2023-01-21,6053.0,6249.666666666667,6266.333333333333
2023-01-22,6433.0,7140.0,7432.857142857143
2023-01-23,5337.1875,6897.374375,7676.124375
2023-01-24,5626.255,6860.8125,7679.6875
2023-01-25,5823.375,7145.561875,8056.749375
2023-01-26,5190.0,5695.0,6013.0
2023-01-27,5829.605333333334,7537.071333333334,8218.640000000001
2023-01-28,5886.506666666667,7135.916666666667,7997.133333333334
2023-01-29,5977.427142857143,7006.998571428571,7642.141428571428
2023-01-30,5457.517647058824,7306.235294117647,8143.6464705882345
2023-01-31,5626.686875,7235.1875,8007.5
2023-02-01,5290.12,7326.586666666667,8138.240000000001
2023-02-02,5308.8,7126.6,7925.333333333333
2023-02-03,5054.6425,6908.999375,7861.874375
2023-02-04,5114.071428571428,7358.642142857143,8034.900000000001
2023-02-05,5650.571428571428,7482.285714285715,7729.714285714285
2023-02-06,5670.999166666667,7391.583333333333,8077.755
2023-02-07,5507.577142857143,7133.72,7837.357142857143
2023-02-08,5259.875,6976.4375,7784.6875
2023-02-09,5531.764117647059,7475.11705882353,8285.940588235293
2023-02-10,5370.25,7226.5,8129.8125
2023-02-11,5198.181818181818,7316.181818181818,8050.545454545455
2023-02-12,5043.833333333333,6881.333333333333,7261.666666666667
2023-02-13,5646.0,7322.823529411765,7946.6464705882345
2023-02-14,4951.733333333334,6984.533333333334,7684.7733333333335
2023-02-15,4768.532666666667,6754.132666666667,7590.066000000001
2023-02-16,5274.725333333334,7203.398666666666,7999.706
2023-02-17,4848.714285714285,6757.857142857143,7502.714285714285
2023-02-18,5086.0,5651.5,6033.5
2023-02-19,5376.857142857143,6665.0,7235.714285714285
2023-02-20,5626.857142857143,6209.428571428572,6712.0
2023-02-21,4645.0,6933.8125,7547.875
2023-02-22,4865.941176470588,6875.411764705882,7543.235294117647
2023-02-23,5768.571428571428,6908.857142857143,7249.714285714285
2023-02-24,4674.705882352941,6554.35294117647,7423.411764705882
2023-02-25,4324.7692307692305,6339.692307692308,7106.692307692308
2023-02-26,4981.857142857143,6570.571428571428,7000.857142857143
2023-02-27,4664.5,6480.642857142857,7256.571428571428
2023-02-28,4845.9375,6465.8125,7050.4375
2023-03-01,4386.357142857143,6472.142857142857,7126.571428571428
2023-03-02,4502.35294117647,6236.470588235294,7011.941176470588
2023-03-03,5270.7692307692305,6803.384615384615,7368.615384615385
2023-03-04,4240.615384615385,6184.538461538462,6944.461538461538
2023-03-05,5236.375,6502.25,6823.5
2023-03-06,3736.25,6148.0,6873.083333333333
2023-03-07,5544.2,5768.6,6051.2
2023-03-08,4329.818181818182,5962.545454545455,6868.0
2023-03-09,4464.533333333334,6278.0,6832.6
2023-03-10,4463.125,5845.6875,6457.75
2023-03-11,4640.25,6334.166666666667,6815.166666666667
2023-03-12,5041.285714285715,6106.714285714285,6502.0
2023-03-13,4513.2307692307695,6415.923076923077,7004.7692307692305
2023-03-14,4684.625,6226.25,6815.4375
2023-03-15,4662.571428571428,6285.214285714285,7084.571428571428
2023-03-16,4336.714285714285,6146.571428571428,6496.571428571428
2023-03-17,4810.125,6342.375,6595.125
2023-03-18,4628.375,6172.125,6902.25
2023-03-19,4674.666666666667,5877.333333333333,5978.333333333333
2023-03-20,3903.5454545454545,5922.090909090909,6576.909090909091
2023-03-21,5175.0,5175.0,5175.0
2023-03-22,5175.0,5175.0,5175.0
2023-03-23,4859.285714285715,5915.857142857143,6187.142857142857
2023-03-24,4056.027272727273,5987.481818181818,6541.363636363636
2023-03-25,4519.222222222223,6023.111111111111,6763.555555555556
2023-03-26,4776.4,5831.4,6507.2
2023-03-27,4605.75,6301.75,6948.416666666667
2023-03-28,4672.909090909091,6245.363636363636,6731.0
2023-03-29,4176.166666666667,6207.916666666667,6778.25
2023-03-30,5077.5,6344.25,6956.25
2023-03-31,5143.583333333333,6220.583333333333,6721.833333333333
2023-04-01,5248.416666666667,6137.583333333333,6854.5
2023-04-02,5342.833333333333,6404.5,6842.833333333333
2023-04-03,4717.0,6379.270909090908,7188.636363636364
2023-04-04,4822.3,6040.8,6909.0
2023-04-05,4767.25,5001.5,5507.25
2023-04-06,4819.25,6311.666666666667,6909.25
2023-04-07,5400.333333333333,5433.666666666667,5450.333333333333
2023-04-08,4567.416666666667,5971.416666666667,6642.416666666667
2023-04-09,5577.285714285715,6104.857142857143,6271.714285714285
2023-04-10,4142.125,5796.0,6786.125
2023-04-11,4796.846153846154,6074.0,6860.153846153846
